category,video_id
PlayingCello,v_PlayingCello_g02_c04
UnevenBars,v_UnevenBars_g09_c02
FrisbeeCatch,v_FrisbeeCatch_g08_c02
UnevenBars,v_UnevenBars_g25_c01
CliffDiving,v_CliffDiving_g14_c04
FrontCrawl,v_FrontCrawl_g21_c06
UnevenBars,v_UnevenBars_g19_c03
BasketballDunk,v_BasketballDunk_g20_c04
FrontCrawl,v_FrontCrawl_g12_c03
FieldHockeyPenalty,v_FieldHockeyPenalty_g20_c01
BoxingPunchingBag,v_BoxingPunchingBag_g15_c04
HammerThrow,v_HammerThrow_g01_c05
CricketBowling,v_CricketBowling_g25_c07
PlayingDhol,v_PlayingDhol_g14_c02
Hammering,v_Hammering_g10_c06
ApplyLipstick,v_ApplyLipstick_g25_c02
HandStandPushups,v_HandStandPushups_g02_c04
PlayingCello,v_PlayingCello_g10_c01
CricketBowling,v_CricketBowling_g24_c04
HandstandWalking,v_HandstandWalking_g22_c02
PlayingFlute,v_PlayingFlute_g09_c03
MoppingFloor,v_MoppingFloor_g25_c02
BoxingPunchingBag,v_BoxingPunchingBag_g24_c03
BasketballDunk,v_BasketballDunk_g13_c04
PlayingDaf,v_PlayingDaf_g06_c02
PlayingSitar,v_PlayingSitar_g03_c02
MoppingFloor,v_MoppingFloor_g04_c06
PlayingDaf,v_PlayingDaf_g08_c01
ApplyEyeMakeup,v_ApplyEyeMakeup_g15_c05
BlowingCandles,v_BlowingCandles_g05_c02
Typing,v_Typing_g18_c02
PlayingFlute,v_PlayingFlute_g17_c01
FieldHockeyPenalty,v_FieldHockeyPenalty_g06_c02
ApplyLipstick,v_ApplyLipstick_g14_c04
BrushingTeeth,v_BrushingTeeth_g08_c04
CricketShot,v_CricketShot_g04_c04
HandstandWalking,v_HandstandWalking_g15_c01
Rafting,v_Rafting_g05_c02
BodyWeightSquats,v_BodyWeightSquats_g17_c04
PlayingDaf,v_PlayingDaf_g05_c04
BlowDryHair,v_BlowDryHair_g17_c03
BodyWeightSquats,v_BodyWeightSquats_g07_c01
Bowling,v_Bowling_g08_c07
ApplyEyeMakeup,v_ApplyEyeMakeup_g23_c02
WallPushups,v_WallPushups_g11_c05
BoxingPunchingBag,v_BoxingPunchingBag_g09_c05
TableTennisShot,v_TableTennisShot_g12_c03
BlowingCandles,v_BlowingCandles_g19_c04
UnevenBars,v_UnevenBars_g16_c05
MoppingFloor,v_MoppingFloor_g14_c03
Bowling,v_Bowling_g15_c04
Rafting,v_Rafting_g05_c03
Archery,v_Archery_g15_c06
BandMarching,v_BandMarching_g04_c01
HandStandPushups,v_HandStandPushups_g08_c05
WritingOnBoard,v_WritingOnBoard_g25_c05
FieldHockeyPenalty,v_FieldHockeyPenalty_g18_c03
CricketShot,v_CricketShot_g25_c06
Bowling,v_Bowling_g10_c05
BoxingPunchingBag,v_BoxingPunchingBag_g08_c02
PlayingDhol,v_PlayingDhol_g11_c01
BlowingCandles,v_BlowingCandles_g07_c03
BandMarching,v_BandMarching_g25_c07
BoxingPunchingBag,v_BoxingPunchingBag_g01_c04
Typing,v_Typing_g10_c03
BalanceBeam,v_BalanceBeam_g02_c01
FieldHockeyPenalty,v_FieldHockeyPenalty_g12_c03
Hammering,v_Hammering_g23_c02
BandMarching,v_BandMarching_g07_c06
CliffDiving,v_CliffDiving_g09_c01
BandMarching,v_BandMarching_g18_c04
PlayingDhol,v_PlayingDhol_g16_c04
Typing,v_Typing_g17_c01
Archery,v_Archery_g01_c04
UnevenBars,v_UnevenBars_g06_c02
CricketShot,v_CricketShot_g24_c01
ApplyEyeMakeup,v_ApplyEyeMakeup_g25_c06
CricketBowling,v_CricketBowling_g18_c06
BoxingPunchingBag,v_BoxingPunchingBag_g06_c05
CricketBowling,v_CricketBowling_g09_c06
UnevenBars,v_UnevenBars_g22_c01
PlayingDhol,v_PlayingDhol_g17_c03
FrontCrawl,v_FrontCrawl_g04_c06
ApplyLipstick,v_ApplyLipstick_g19_c04
HandstandWalking,v_HandstandWalking_g02_c03
CricketShot,v_CricketShot_g01_c06
HammerThrow,v_HammerThrow_g22_c05
HandStandPushups,v_HandStandPushups_g13_c04
Hammering,v_Hammering_g18_c01
Hammering,v_Hammering_g21_c06
FrisbeeCatch,v_FrisbeeCatch_g16_c02
PlayingCello,v_PlayingCello_g24_c01
Hammering,v_Hammering_g14_c04
WallPushups,v_WallPushups_g23_c02
TableTennisShot,v_TableTennisShot_g13_c02
BrushingTeeth,v_BrushingTeeth_g10_c02
BlowingCandles,v_BlowingCandles_g10_c04
BlowingCandles,v_BlowingCandles_g22_c03
BodyWeightSquats,v_BodyWeightSquats_g16_c01
TableTennisShot,v_TableTennisShot_g19_c03
PlayingSitar,v_PlayingSitar_g19_c01
Rafting,v_Rafting_g21_c03
BasketballDunk,v_BasketballDunk_g04_c04
WritingOnBoard,v_WritingOnBoard_g11_c05
ApplyLipstick,v_ApplyLipstick_g10_c01
CricketShot,v_CricketShot_g05_c05
PlayingDaf,v_PlayingDaf_g24_c03
CricketBowling,v_CricketBowling_g07_c04
UnevenBars,v_UnevenBars_g21_c02
BasketballDunk,v_BasketballDunk_g09_c03
BalanceBeam,v_BalanceBeam_g20_c02
ApplyLipstick,v_ApplyLipstick_g06_c03
PlayingDaf,v_PlayingDaf_g20_c06
MoppingFloor,v_MoppingFloor_g05_c05
HandStandPushups,v_HandStandPushups_g25_c05
Bowling,v_Bowling_g17_c02
BrushingTeeth,v_BrushingTeeth_g19_c04
HandstandWalking,v_HandstandWalking_g21_c04
BoxingPunchingBag,v_BoxingPunchingBag_g03_c06
CricketShot,v_CricketShot_g06_c07
HandStandPushups,v_HandStandPushups_g20_c01
ApplyLipstick,v_ApplyLipstick_g13_c01
Typing,v_Typing_g05_c01
TableTennisShot,v_TableTennisShot_g20_c06
Typing,v_Typing_g18_c03
PlayingFlute,v_PlayingFlute_g06_c02
WritingOnBoard,v_WritingOnBoard_g19_c04
Archery,v_Archery_g01_c05
CricketShot,v_CricketShot_g25_c07
FieldHockeyPenalty,v_FieldHockeyPenalty_g05_c03
FrontCrawl,v_FrontCrawl_g07_c06
WallPushups,v_WallPushups_g23_c03
PlayingCello,v_PlayingCello_g09_c06
FieldHockeyPenalty,v_FieldHockeyPenalty_g18_c02
ApplyEyeMakeup,v_ApplyEyeMakeup_g19_c01
BrushingTeeth,v_BrushingTeeth_g21_c04
BlowDryHair,v_BlowDryHair_g03_c04
Bowling,v_Bowling_g23_c02
FrontCrawl,v_FrontCrawl_g08_c05
BasketballDunk,v_BasketballDunk_g24_c04
ApplyEyeMakeup,v_ApplyEyeMakeup_g13_c03
PlayingFlute,v_PlayingFlute_g24_c04
PlayingCello,v_PlayingCello_g24_c07
BrushingTeeth,v_BrushingTeeth_g04_c02
BlowDryHair,v_BlowDryHair_g09_c03
FrisbeeCatch,v_FrisbeeCatch_g21_c03
PlayingDhol,v_PlayingDhol_g07_c02
ApplyLipstick,v_ApplyLipstick_g18_c01
WallPushups,v_WallPushups_g14_c03
BasketballDunk,v_BasketballDunk_g25_c01
ApplyLipstick,v_ApplyLipstick_g19_c03
HandStandPushups,v_HandStandPushups_g12_c07
Archery,v_Archery_g08_c04
PlayingDhol,v_PlayingDhol_g07_c06
BalanceBeam,v_BalanceBeam_g12_c03
PlayingSitar,v_PlayingSitar_g14_c04
WritingOnBoard,v_WritingOnBoard_g03_c03
CliffDiving,v_CliffDiving_g14_c05
TableTennisShot,v_TableTennisShot_g17_c04
PlayingFlute,v_PlayingFlute_g24_c01
BrushingTeeth,v_BrushingTeeth_g13_c01
PlayingDaf,v_PlayingDaf_g04_c07
PlayingSitar,v_PlayingSitar_g07_c05
PlayingCello,v_PlayingCello_g06_c02
